;ID;UF;IDCAPITAL;SIGLA;REGIAO
0;1;ACRE;16;AC;NORTE
1;2;ALAGOAS;68;AL;NORDESTE
2;3;AMAPA;131;AP;NORTE
3;4;AMAZONAS;178;AM;NORTE
4;5;BAHIA;536;BA;NORDESTE
5;6;CEARA;676;CE;NORDESTE
6;7;DISTRITO FEDERAL;916;DF;CENTRO-OESTE
7;8;ESPIRITO SANTO;879;ES;SUDESTE
8;9;GOIAS;973;GO;CENTRO-OESTE
9;10;MARANHAO;1309;MA;NORDESTE
10;11;MATO GROSSO;1374;MT;CENTRO-OESTE
11;12;MATO GROSSO DO SUL;1485;MS;CENTRO-OESTE
12;13;PARA;1561;PA;NORTE
13;14;PARAIBA;1779;PB;NORDESTE
14;15;PARANA;2002;PR;SUL
15;16;PERNAMBUCO;2439;PE;NORDESTE
16;17;PIAUI;2704;PI;NORDESTE
17;18;RIO DE JANEIRO;2779;RJ;SUDESTE
18;19;RIO GRANDE DO NORTE;2890;RN;NORDESTE
19;20;RIO GRANDE DO SUL;3273;RS;SUL
20;21;RONDONIA;3473;RO;NORTE
21;22;RORAIMA;3491;RR;NORTE
22;23;SANTA CATARINA;3591;SC;SUL
23;24;SÃO PAULO;4361;SP;SUDESTE
24;25;SERGIPE;4444;SE;NORDESTE
25;26;TOCANTINS;4606;TO;NORTE
26;27;MINAS GERAIS;4790;MG;SUDESTE
